executive_order_number,title,signing_date,disposition_notes,president,days,count
7550.0,"Revocation of Paragraph 9, Subdivision III, Schedule A, Civil Service Rules",1937-02-10,"Federal Register page and date: 2 FR 345, February 12, 1937
Revokes: EO 372, November 18, 1905",Franklin D Roosevelt,1439,1734.0
7551.0,"Amendment of Paragraph 1, Subdivision VI, Schedule A, Civil Service Rules",1937-02-11,"Federal Register page and date: 2 FR 381, February 11, 1937",Franklin D Roosevelt,1440,1735.0
7552.0,Exemption of William H. Long From Compulsory Retirement for Age,1937-02-13,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1442,1736.0
7553.0,Increasing Amounts Available for Public Projects Under Emergency Relief Appropriation Act of 1936,1937-02-17,"Federal Register page and date: 2 FR 403, February 20, 1937
Amends: EO 7469, October 13, 1936; EO 7512, December 16, 1936
Amended by: EO 7617, May 13, 1937",Franklin D Roosevelt,1446,1737.0
7554.0,"Amendment of Section 1 of   7180 of September 6, 1935, Prescribing Rules and Regulations Governing the Making of Loans by the Puerto Rico Reconstruction Administration Under the Emergency Relief Appropriations Act of 1935",1937-02-17,"Federal Register page and date: 2 FR 403, February 20, 1937
Amends: EO 7180, September 6, 1935
Amended by: EO 8888, September 3, 1941; EO 
      9278, December 5, 1942; EO 9618, 
      September 19, 1945
See: EO 9901, October 25, 1947; EO 
      10468, July 7, 1953",Franklin D Roosevelt,1446,1738.0
7555.0,"Withdrawal of Land for Forest Administrative Site, California",1937-02-17,"Federal Register page and date: 2 FR 403, February 20, 1937
Amends: EO 6910, November 26, 1934
Revoked by: Public Land Order 6144, February 5, 1982 (47 FR 6856)",Franklin D Roosevelt,1446,1739.0
7556.0,"Excluding Certain Tracts of Land From Tongass National Forest and Restoring Them to Entry, Alaska",1937-02-18,"Federal Register page and date: 2 FR 404, February 20, 1937",Franklin D Roosevelt,1447,1740.0
7557.0,"Amendment of   7530 of December 31, 1936, Transferring Functions, Funds, Property, etc., of the Resettlement Administration to the Secretary of Agriculture",1937-02-19,"Federal Register page and date: 2 FR 411, February 24, 1937
Amends: EO 7530, December 31, 1936;
See: 
      
      EO 7028, April 30, 1935; 
      
      EO 7041, May 15, 1935; EO 7868, April 15, 1938; 
      EO 7908, June 9, 1938",Franklin D Roosevelt,1448,1741.0
7558.0,"Withdrawal of Public Lands for Erosion Control Demonstrations, Nevada",1937-02-23,"Federal Register page and date: 2 FR 434, February 26, 1937
Amends: EO 6910, November 26, 1934
Revoked by: Public Land Order 3833, September 27, 1965 (30 FR 12642) (in part)",Franklin D Roosevelt,1452,1742.0
7559.0,"Partial Revocation of   5603 of April 20, 1931, Withdrawing Public Lands, Wyoming",1937-02-23,"Federal Register page and date: 2 FR 434, February 26, 1937
Revokes: EO 5603, April 20, 1931 (in part)",Franklin D Roosevelt,1452,1743.0
7560.0,"Revocation of   6082 of March 25, 1933, Withdrawing Public Lands, Wyoming",1937-02-23,"Federal Register page and date: 2 FR 434, February 26, 1937
Revokes: EO 6082, March 25, 1933",Franklin D Roosevelt,1452,1744.0
7561.0,"Partial Revocation of   6288 of September 14, 1933, Withdrawing Public Lands, Wyoming",1937-02-23,"Federal Register page and date: 2 FR 434, February 26, 1937
Revokes: EO 6288, September 14, 1933 (in part)",Franklin D Roosevelt,1452,1745.0
7562.0,"Establishing Sacramento Migratory Waterfowl Refuge, California",1937-02-27,"Federal Register page and date: 2 FR 537, March, 1937",Franklin D Roosevelt,1456,1746.0
7563.0,"Establishing Swan Lake Migratory Waterfowl Refuge, Missouri",1937-02-27,"Federal Register page and date: 2 FR 537, March 3, 1937",Franklin D Roosevelt,1456,1747.0
7564.0,"Extending the Limits of Customs Port of Entry of Saint Paul, Minnesota",1937-02-27,"Federal Register page and date: 2 FR 537, March 3, 1937",Franklin D Roosevelt,1456,1748.0
7565.0,Exemption of Joseph W. Austin From Compulsory Retirement for Age,1937-02-27,"Amends: EO 6976, February 26, 1935
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1456,1749.0
7566.0,Exemption of William M. Beaman From Compulsory Retirement for Age,1937-02-27,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1456,1750.0
7567.0,Exemption of Charles J. Evans From Compulsory Retirement for Age,1937-02-27,"Amends: EO 7291, February 14, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1456,1751.0
7568.0,Exemption of Clarence W. Perley From Compulsory Retirement for Age,1937-02-27,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1456,1752.0
7569.0,Exemption of Carl F. Jeansen From Compulsory Retirement for Age,1937-03-03,"Amends: EO 6914, December 6, 1934; EO 7308, February 28, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1460,1753.0
7570.0,"Modification of   7070 of June 12, 1935, Prescribing Regulations Governing Appointments of Employees Paid from Emergency Funds",1937-03-04,"Federal Register page and date: 2 FR 589, March 9, 1937
Amends: EO 7070, June 12, 1935",Franklin D Roosevelt,1461,1754.0
7571.0,Exemption of John G. Honey From Compulsory Retirement for Age,1937-03-06,"Amended by: EO 7844, March 18, 1938
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1463,1755.0
7572.0,"Modification of   7513 of December 16, 1936, Transferring Lands from the Roosevelt and Pike National Forests to the Arapaho National Forest in Colorado",1937-03-09,"Federal Register page and date: 2 FR 607, March 12, 1937
Amends: EO 7513, December 16, 1936",Franklin D Roosevelt,1466,1756.0
7573.0,Designation the Honorable Adolph G. Wolff as Acting Judge of the District Court of the United States for Puerto Rico,1937-03-09,"Federal Register page and date: 2 FR 607, March 12, 1937",Franklin D Roosevelt,1466,1757.0
7574.0,Exemption of Edward M. Kennard From Compulsory Retirement for Age,1937-03-09,"Amended by: EO 7859, April 5, 1938
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1466,1758.0
7575.0,Limiting the Importation of Red Cedar Shingles From Canada,1937-03-13,"Federal Register page and date: 2 FR 619, March 16, 1937
Amended by: EO 7701, September 3, 1937",Franklin D Roosevelt,1470,1759.0
7576.0,"Restoring Lands to Territory of Hawaii for Road Purposes and Reserving Lands for Military Purposes, Schofield Barracks, Hawaii",1937-03-15,"Federal Register page and date: 2 FR 629, March 17, 1937",Franklin D Roosevelt,1472,1760.0
7577.0,Amending the Instructions to Diplomatic Officers and the Consular Regulations,1937-03-19,"Federal Register page and date: 2 FR 671, March 24, 1937",Franklin D Roosevelt,1476,1761.0
7578.0,"Excluding Certain Tracts of Land From Tongrass National Forest and Restoring Them to Entry, Alaska",1937-03-19,"Federal Register page and date: 2 FR 671, March 24, 1937",Franklin D Roosevelt,1476,1762.0
7579.0,"Partial Revocation of   5165 of July 26, 1929, Withdrawing Public Land, Colorado",1937-03-19,"Federal Register page and date: 2 FR 671, March 24, 1937
Revokes: EO 5165, July 26, 1929 (in part)",Franklin D Roosevelt,1476,1763.0
7580.0,Exemption of Frank Hahn From Compulsory Retirement for Age,1937-03-19,"Amends: EO 7336, April 9, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1476,1764.0
7581.0,Exemption of Louis A. Simon From Compulsory Retirement for Age,1937-03-19,"Amended by: EO 7824, February 25, 1938; EO 
      8046, February 11, 1939; EO 8369, March 
      7, 1940; EO 8747, April 28, 1941
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1476,1765.0
7582.0,Exemption of George W. Hutchinson From Compulsory Retirement for Age,1937-03-20,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1477,1766.0
7583.0,"Establishing Mud Lake Migratory Waterfowl Refuge, Minnesota",1937-03-23,"Federal Register page and date: 2 FR 685, March 26, 1937
Amended by: EO 8601, November 20, 1940",Franklin D Roosevelt,1480,1767.0
7584.0,"Designating Ajo, Arizona, as a Customs Port of Entry",1937-03-24,"Federal Register page and date: 2 FR 685, March 26, 1937",Franklin D Roosevelt,1481,1768.0
7585.0,"Partial Revocation of   6473 of December 4, 1933, Withdrawing Public Lands, Wyoming",1937-03-24,"Federal Register page and date: 2 FR 685, March 26, 1937
Revokes: EO 6473, December 4, 1933 (in part)",Franklin D Roosevelt,1481,1769.0
7586.0,Exemption of William Gerig From Compulsory Retirement for Age,1937-03-24,"Amends: EO 7315, March 11, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1481,1770.0
7587.0,Authorizing Certain Employees of the National Labor Relations Board To Acquire a Competitive Classified Civil Service Status,1937-03-27,"Federal Register page and date: 2 FR 719, March 31, 1937
Amends: EO 6763, June 29, 1934; EO 7408, July 6, 1936",Franklin D Roosevelt,1484,1771.0
7588.0,Restoring to the Territory of Hawaii a Portion of the Fort Shafter Military Reservation,1937-03-27,"Federal Register page and date: 2 FR 720, March 31, 1937",Franklin D Roosevelt,1484,1772.0
7589.0,"Partial Revocation of   4914 of June 23, 1928, Withdrawing Public Lands, Wyoming",1937-03-27,"Federal Register page and date: 2 FR 720, March 31, 1937
Amends: EO 4914, June 23, 1928",Franklin D Roosevelt,1484,1773.0
7590.0,"Partial Revocation of   6119 of May 2, 1933, Withdrawing Public Lands, California",1937-03-29,"Federal Register page and date: 2 FR 721, March 31, 1937
Amends: EO 6119, May 2, 1933",Franklin D Roosevelt,1486,1774.0
7591.0,Exemption of Reinhardt Thiessen From Compulsory Retirement for Age,1937-03-29,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1486,1775.0
7592.0,Authorizing the Appointment of Mrs. Etta May Gilley to a Position in the Postal Service Without Regard to the Civil Service Rules,1937-03-29,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1486,1776.0
7593.0,"Establishing Okefenokee Wildlife Refuge, Georgia",1937-03-30,"Federal Register page and date: 2 FR 739, April 2, 1937
Amended by: EO 7994, October 27, 1938",Franklin D Roosevelt,1487,1777.0
7594.0,"Establishing Jones Island Migratory Bird Refuge, Washington",1937-03-30,"Federal Register page and date: 2 FR 739, April 2, 1937
Revoked by: Public Land Order 5515, August 27, 1975 (40 FR 40811) (in part); Public Land Order: 6489, October 27, 1983 (48 FR 50895)
See: Public Land Order 2249, December 24, 1960 (26 FR 165); Public Land Order 6438, July 18, 1983 (48 FR 49022)",Franklin D Roosevelt,1487,1778.0
7595.0,"Establishing Matia Island Migratory Bird Refuge, Washington",1937-03-30,"Federal Register page and date: 2 FR 741, April 2, 1937
Amends: Executive Order of July 15, 1875 (unnumbered series)
Revoked by: Public Land Order 5515, August 27, 1975 (40 FR 40811) (in part)
See: Public Land Order 6438, July 18, 1983 (48 FR 49022)",Franklin D Roosevelt,1487,1779.0
7596.0,"Withdrawal of Public Lands for Use of the War Department, Alaska",1937-03-31,"Federal Register page and date: 2 FR 741, April 2, 1937",Franklin D Roosevelt,1488,1780.0
7597.0,Exemption of Harry O. Bailey From Compulsory Retirement for Age,1937-03-31,"Amends: EO 6088, March 29, 1933; EO 6998, March 30, 1935
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1488,1781.0
7598.0,Exemption of Harry M. Reynolds From Compulsory Retirement for Age,1937-03-31,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1488,1782.0
7599.0,"Amendment of s  6910 of November 26, 1934, as Amended, and  6964 of February 5, 1935, as Amended, Withdrawing Public Lands in Certain States",1937-04-01,"Federal Register page and date: 2 FR 747, April 3, 1937
Amends: EO 6910, November 26, 1934; EO 6964, February 5, 1935",Franklin D Roosevelt,1489,1783.0
7600.0,Amendment of Tariff of United States Consular Fees,1937-04-07,"Federal Register page and date: 2 FR 795, April 10, 1937
Superseded by: EO 7968, September 3, 1938",Franklin D Roosevelt,1495,1784.0
7601.0,"Withdrawal of Public Lands to Provide Material for the Construction and Maintenance of Public Roads and Other Public Project, Oregon",1937-04-07,"Federal Register page and date:
Federal Register page and date: 2 FR 795, April 10, 1937
Revoked by: Public Land Order 5887, May 18, 1981 (46 FR 28414)",Franklin D Roosevelt,1495,1785.0
7602.0,"Revocation of   7261-A of December 31, 1935, Amending the Instruction to Diplomatic Officers of the United States",1937-04-09,"Federal Register page and date: 2 FR 803, April 12, 1937
Revokes: EO 7261-A, December 31, 1935",Franklin D Roosevelt,1497,1786.0
7603.0,"Partial Revocation of   6795 of July 26, 1934, Withdrawing Public Lands, Wyoming",1937-04-14,"Federal Register page and date: 2 FR 835, April 17, 1937
Amends: 
    
    EO 6795, July 26, 1934",Franklin D Roosevelt,1502,1787.0
7604.0,"Partial Revocation of   6473 of December 4, 1933, Withdrawing Public Lands, Wyoming",1937-04-14,"Federal Register page and date: 2 FR 835, April 17, 1937
Amends: 
    
    EO 6473, December 4, 1933",Franklin D Roosevelt,1502,1788.0
7605.0,"Revocation of   6807 of August 4, 1934, and  6863 of October 3, 1934, Withdrawing Public Lands, New Mexico",1937-04-15,"Federal Register page and date: 2 FR 839, April 20, 1937
Revokes: 
    
    EO 6807, August 4, 1934; 
    
    EO 6863, October 3, 1934",Franklin D Roosevelt,1503,1789.0
7606.0,Designating the Chairman of the United States Maritime Commission,1937-04-16,"Federal Register page and date: 2 FR 839, April 20, 1937",Franklin D Roosevelt,1504,1790.0
7607.0,"Transfer of Lands from Dixie National Forest to Nevada National Forest, Nevada",1937-04-19,"Federal Register page and date: 2 FR 851, April 21, 1937
Amends: Proclamation 1465, July 12, 1918
See: Public Land Order 1487, September 9, 1957 (22 FR 7309)",Franklin D Roosevelt,1507,1791.0
7608.0,"Revocation of   5596 of April 9, 1931, Withdrawing Public Lands, Nevada",1937-04-22,"Federal Register page and date: 2 FR 885, April 27, 1937
Revokes: 
    
    EO 5596, April 9, 1931",Franklin D Roosevelt,1510,1792.0
7609.0,"Amendment of   7070 of June 12, 1935, Prescribing Regulations Governing Appointments of Employees Paid From Emergency Funds",1937-04-23,"Federal Register page and date: 2 FR 885, April 27, 1937
Amends: 
    
    EO 7070, June 12, 1935",Franklin D Roosevelt,1511,1793.0
7610.0,"Amendment of   6966 of February 8, 1935, Excluding Certain Tracts of Land From the Chugach National Forest and Restoring Them to Entry",1937-04-23,"Federal Register page and date: 2 FR 885, April 27, 1937
Amends: 
    
    EO 6966, February 8, 1935",Franklin D Roosevelt,1511,1794.0
7611.0,Exemption of Harry C. Armstrong From Compulsory Retirement for Age,1937-04-26,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1514,1795.0
7612.0,Exemption of Charles H. Pierce From Compulsory Retirement for Age,1937-04-26,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1514,1796.0
7613.0,Exemption of James Robertson From Compulsory Retirement for Age,1937-04-27,"Amended by: EO 7842, March 15, 1938
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1515,1797.0
7614.0,Excluding Certain Tracts of Land From Tongass National Forest and Restoring Them to Entry,1937-05-11,"Federal Register page and date: 2 FR 989, May 15, 1937",Franklin D Roosevelt,1529,1798.0
7615.0,"Revocation of   6258 of August 22, 1933, Withdrawing Public Lands, New Mexico",1937-05-13,"Federal Register page and date: 2 FR 997, May 18, 1937
Revokes: 
    
    EO 6258, August 22, 1933",Franklin D Roosevelt,1531,1799.0
7616.0,"Withdrawal of Public Lands for the Use of the Agriculture Department, Wyoming",1937-05-13,"Federal Register page and date: 2 FR 997, May 18, 1937
Amends: 
    
    EO 6910, November 26, 1934
See: Public Land Order 1115, April 8, 1955 (20 FR 2464)",Franklin D Roosevelt,1531,1800.0
7617.0,"Increasing the Amounts Available for Public Projects Under Clauses (F), (G), and (H) of the Emergency Relief Appropriation Act of 1936",1937-05-13,"Federal Register page and date: 2 FR 997, May 18, 1937
Amends: 
    
    EO 7469, October 13, 1936; 
    
    EO 7512, December 16, 1936; EO 7553, February 
    17, 1937",Franklin D Roosevelt,1531,1801.0
7618.0,"Abolishing Vineyard Haven, Massachusetts, as a Customs Port of Entry",1937-05-18,"Federal Register page and date: 2 FR 1021, May 20, 1937",Franklin D Roosevelt,1536,1802.0
7619.0,"Authorizing the Appointment of J.V. Taylor to the Position of Senior Soil Conservationist in the Soil Conservation Service, Department of Agriculture Without Regard to the Civil Service Rules",1937-05-20,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1538,1803.0
7620.0,"Power Site Restoration  484, Revocation of  of June 8, 1909, Creating Temporary Power Site Withdrawal  17, and Partial Revocation of  of July 2, 1910, Creating Power Reserve  17",1937-05-24,"Federal Register page and date: 2 FR 1069, May 26, 1937
Revokes: Executive order of June 8, 1909 (unnumbered series); Executive order of July 2, 1910 (unnumbered series)(in part)",Franklin D Roosevelt,1542,1804.0
7621.0,"Power-Site Restoration  485. Partial Revocation of  of March 31, 1911, Creating Power-Site Reserve  178",1937-05-24,"Federal Register page and date: 2 FR 1069, May 26, 1937
Revokes: Executive order of March 31, 1911 (unnumbered series)",Franklin D Roosevelt,1542,1805.0
7622.0,"Withdrawal of Public Land for the Use of the United States Indian Service Hospital, Alaska",1937-05-29,"Federal Register page and date: 2 FR 1119, June 3, 1937
Revokes: 
    
    EO 6006, January 23, 1933
Revoked by: Public Land Order 1202, August 4, 1955 (20 FR 5779)",Franklin D Roosevelt,1547,1806.0
7623.0,"Withdrawal of Public Land for the Use of the Department of Agriculture as Addition to Agriculture Field Station, Oregon",1937-05-29,"Federal Register page and date: 2 FR 1119, June 3, 1937
Revoked by: Public Land Order 5219, June 27, 1972 (37 FR 13096)",Franklin D Roosevelt,1547,1807.0
7624.0,"Enlarging the Tongass National Forest, Alaska",1937-05-29,"Federal Register page and date: 2 FR 1119, June 3, 1937
Amends: Proclamation 1742, June 10, 1925",Franklin D Roosevelt,1547,1808.0
7625.0,"Revocation of   5144 of June 25, 1929, Withdrawing Public Lands",1937-05-29,"Federal Register page and date: 2 FR 1119, June 3, 1937
Revokes: 
    
    EO 5144, June 25, 1929",Franklin D Roosevelt,1547,1809.0
7626.0,"Reinstatement of Former Foreign Service Officer - Robert F. Kelley, Class III",1937-06-03,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1552,1810.0
7627.0,"Revocation of   6120 of May 2, 1933, Withdrawing Public Lands, California",1937-06-08,"Federal Register page and date: 2 FR 1191, June 11, 1937
Revokes: 
  
  EO 6120, May 2, 1933",Franklin D Roosevelt,1557,1811.0
7628.0,"Withdrawal of Public Lands, Arkansas",1937-06-08,"Federal Register page and date: 2 FR 1191, June 11, 1937
Amends: 
  
  EO 6964, February 5, 1935",Franklin D Roosevelt,1557,1812.0
7629.0,Exemption of William T. Marshall From Compulsory Retirement for Age,1937-06-08,"Amends: 
    
    EO 7420, July 20, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1557,1813.0
7630.0,Authorizing the Extension of Appointments of Certain Employees of the General Accounting Office,1937-06-08,"Amends: 
    
    EO 7063, June 5, 1935
Amended by: EO 7913, June 16, 1938 
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1557,1814.0
7631.0,"Power-Site Restoration  483. Partial Revocation of  of October 23, 1914, Creating Power-Site Reserve  451",1937-06-09,"Federal Register page and date: 2 FR 1191, June 11, 1937
Amends: Executive order of October 23, 1914 (unnumbered series)",Franklin D Roosevelt,1558,1815.0
7632.0,Certain Places Designated as Customs Ports of Entry,1937-06-15,"Federal Register page and date: 2 FR 1245, June 18, 1937
Amends: 
    
    EO 3925, November 13, 1923
Revoked by: EO 8885, September 3, 1941 (in 
      part)
See: Treasury Decision 56073, December 10, 1963 (28 FR 13837)",Franklin D Roosevelt,1564,1816.0
7633.0,Authorizing the Appointment of William B. Benham to a Classified Position in the Department of Justice Without Regard to Civil Service Rules,1937-06-15,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1564,1817.0
7634.0,"Reinstatement of Certain Former Foreign Service Officers - Class V, John W. Bailey, Junior and George Gregg Fuller",1937-06-16,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1565,1818.0
7635.0,Exemption of Edward M. Weeks From Compulsory Retirement for Age,1937-06-16,"Amends: EO 7413, July 10, 1936
Amended by: EO 7945, August 4, 1938; EO 
      8231, August 31, 1939
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1565,1819.0
7636.0,"Amendment of  of January 17, 1873, Relating to the Holding of State or Local Offices by Federal Officers and Employees",1937-06-17,"Federal Register page and date: 2 FR 1259, June 19, 1937
Amends: 
    
    EO 9, January 17, 1873
Revoked by: EO 11408, April 25, 1968 (in 
      part)",Franklin D Roosevelt,1566,1820.0
7637.0,"Exemption of John H. Thomas From Compulsory Retirement for Age, Interior Department",1937-06-19,"Amended by: EO 7912, June 16, 1938
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1568,1821.0
7638.0,Exemption of William F. Staley From Compulsory Retirement for Age,1937-06-19,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1568,1822.0
7639.0,"Postponement of Effective Date of Certain Provisions of   6166 of June 10, 1933",1937-06-19,"Amends: 
    
    EO 6166, June 10, 1933
Amended by: EO 7774, December 21, 1937
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1568,1823.0
7640.0,Promulgating the Effective Date of the Code of Provided for the Bituminous Coal Act of 1937 and of Section 3 of Said Act,1937-06-21,"Federal Register page and date: 2 FR 1265, June 22, 1937",Franklin D Roosevelt,1570,1824.0
7641.0,"Transferring to the Secretary of the Treasury the Functions Delegated to the Secretary of Labor by   2889 of June 18, 1918",1937-06-22,"Federal Register page and date: 2 FR 1295, June 24, 1937
Amends: 
    
    EO 2889, June 18, 1918
Superseded by: EO 8186, June 29, 1939",Franklin D Roosevelt,1571,1825.0
7642.0,Exemption of Burton Smith From Compulsory Retirement for Age,1937-06-22,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1571,1826.0
7643.0,"Establishing Bombay Hook Migratory Waterfowl Refuge, Delaware",1937-06-22,"Federal Register page and date: 2 FR 1305, June 25, 1937",Franklin D Roosevelt,1571,1827.0
7644.0,"Authorizing Transfer of Certain Employees of the Government-Operated Star Route Service Bureau, Post Office Department, to Positions in the Postal Service",1937-06-28,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1577,1828.0
7645.0,Exemption of George G. Hedgcock From Compulsory Retirement for Age,1937-06-24,"Amends: 
    
    EO 6338, October 14, 1933; 
    
    EO 6862, September 30, 1934; 
    
    EO 7208, October 19, 1935; 
    
    EO 7475, October 19, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1573,1829.0
7646.0,Exemption of Hoffman Philip From Compulsory Retirement for Age,1937-06-28,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1577,1830.0
7647.0,"Withdrawal of Public Land for Use as a Rifle Range Under the Supervision of the War Department, Idaho",1937-06-28,"Federal Register page and date: 2 FR 1315, July 1, 1937
Amends: 
    
    EO 6910, November 26, 1934",Franklin D Roosevelt,1577,1831.0
7648.0,"Waving Provisions of  of January 17, 1973, Prohibiting Federal Employees from Holding any Office Under any State, Territorial or Municipal Government, as to Douglas Armstrong, Director of Police, Virgin Islands",1937-06-28,"Amends: 
    
    EO 9, January 17, 1873
Revoked by: EO 11408, April 25, 1968 (in 
      part)
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1577,1832.0
