executive_order_number,title,signing_date,disposition_notes
12934.0,Blocking property and additional measures with respect to the Bosnian Serb-controlled areas of the Republic of Bosnia and Herzegovina,"October 25, 1994","Federal Register page and date: 59 FR 54117; October 27, 1994
See: Pres. Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice of May 28, 1997; Notice of May 25, 2000; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003"
12933.0,Nondisplacement of qualified workers under certain contracts,"October 20, 1994","Federal Register page and date: 59 FR 53559; October 24, 1994
Revoked by: EO 13204, February 17, 2001
See: Final Rule of May 16, 1997 (62 FR 28176)"
12932.0,Termination of emergency with respect to Haiti,"October 14, 1994","Federal Register page and date: 59 FR 52403; October 18, 1994
Revokes: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12872, October 18, 1993; EO 12914, May 7, 1994; EO 12917, May 21, 1994; EO 12920, June 10, 1994; EO 12922, June 21, 1994"
12931.0,Federal procurement reform,"October 13, 1994","Federal Register page and date: 59 FR 52387; October 17, 1994
Revokes: EO 12352, March 17, 1982"
12930.0,Measures to restrict the participation by United States persons in weapons proliferation activities,"September 29, 1994","Federal Register page and date: 59 FR 50475; October 3, 1994
Revoked by: EO 12938, November 14, 1994"
12929.0,Delegation of authority regarding the naval petroleum and oil shale reserves,"September 29, 1994","Federal Register page and date: 59 FR 50473; October 3, 1994"
12928.0,"Promoting procurement with small businesses owned and controlled by socially and economically disadvantaged individuals, historically black colleges and universities, and minority institutions","September 16, 1994","Federal Register page and date: 59 FR 48377; September 20, 1994"
12927.0,Ordering the Selected Reserve of the Armed Forces to active duty,"September 15, 1994","Federal Register page and date: 59 FR 47781; September 19, 1994"
12926.0,Implementation of the National Voter Registration Act of 1993,"September 12, 1994","Federal Register page and date: 59 FR 47227; September 14, 1994"
12925.0,Establishing an emergency board to investigate a dispute between the Soo Line Railroad Company and certain of its employees represented by the United Transportation Union,"August 29, 1994","Federal Register page and date: 59 FR 45181; August 31, 1994"
12924.0,Continuation of Export Control Regulations,"August 19, 1994","Federal Register page and date: 59 FR 43437; August 23, 1994
Revokes: EO 12923, June 30, 1994
Continued by: Notice of August 15, 1995; Notice of August 14, 1996; Notice of August 13, 1997; Notice of August 13, 1998; Notice of August 10, 1999
Revoked by: EO 13206, April 4, 2001
See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993; EO 12981, December 5, 1995; EO 13020, October 12, 1996; Notice of August 3, 2000"
12923.0,Continuation of export control regulations,"June 30, 1994","Federal Register page and date: 59 FR 34551; July 5, 1994
Revoked by: EO 12924, August 19, 1994
See: EO 12002, July 7, 1977; EO 12214, May 2, 1980; EO 12735, November 16, 1990; EO 12755, March 12, 1991; EO 12851, June 11, 1993"
12922.0,Blocking property of certain Haitian nationals,"June 21, 1994","Federal Register page and date: 59 FR 32645; June 23, 1994
Revoked by: EO 12932, October 14, 1994
See: Notice, September 30, 1994; 59 FR 51066"
12921.0,Amendment to   12864,"June 13, 1994","Federal Register page and date: 59 FR 30667; June 15, 1994
Amends: 12864, September 15, 1993
Revoked by: EO 13062, September 29, 1997"
12920.0,Prohibiting certain transactions with respect to Haiti,"June 10, 1994","Federal Register page and date: 59 FR 30501; June 14, 1994
Revoked by: EO 12932, October 14, 1994
See: Notice, September 30, 1994; 59 FR 51066"
12919.0,National defense industrial resources preparedness,"June 3, 1994","Federal Register page and date: 59 FR 29525; June 7, 1994
Amends: EO 10789, November 14, 1958; EO 11790, June 25, 1974
Amended by: EO 13286, February 28, 2003
Revoked in part by: EO 13456, January 23, 2008
Supersedes or Revokes: EO 8248, September 8, 1939 (in part); EO 10222, March 8, 1951; EO 10480, August 14, 1953; EO 10647, November 28, 1955; EO 11179, September 22, 1964; EO 11355, May 26, 1967; EO 11912, April 13, 1976 (in part); EO 12148, July 20, 1979 (in part); EO 12521, June 24, 1985; EO 12649, August 11, 1988; EO 12773, September 26, 1991 (in part)"
12918.0,Prohibiting certain transactions with respect to Rwanda and delegating authority with respect to other United Nations arms embargoes,"May 26, 1994","Federal Register page and date: 59 FR 28205; May 31, 1994
See: 59 FR 28583"
12917.0,Prohibiting certain transactions with respect to Haiti,"May 21, 1994","Federal Register page and date: 59 FR 26925; May 24, 1994
Revokes in part: EO 12779, October 28, 1991; EO 12853, June 30, 1993
Revoked by: EO 12932, October 14, 1994
See: EO 12920, June 10, 1994; 59 FR 51066
Amended by: Notice, September 30, 1994"
12916.0,Implementation of the Border Environment Cooperation Commission and the North American Development Bank,"May 13, 1994","Federal Register page and date: 59 FR 25779; May 18, 1994
Amended by: EO 13380, June 17, 2005
Continued by: EO 13708, September 30, 2015"
12915.0,Federal implementation of the North American Agreement on Environmental Cooperation,"May 13, 1994","Federal Register page and date: 59 FR 25775; May 18, 1994
Continued by: EO 13708, September 30, 2015"
12914.0,Prohibiting certain transactions with respect to Haiti,"May 7, 1994","Federal Register page and date: 59 FR 24339; May 10, 1994
Revoked by: EO 12932, October 14, 1994
See: 59 FR 25809; 59 FR 26333; 59 FR 32744; EO 12922, June 21, 1994; 59 FR 51066; Notice of September 30, 1994"
12913.0,Revocation of   12582,"May 2, 1994","Federal Register page and date: 59 FR 23115; May 4, 1994
Revokes: EO 12582, February 2, 1987"
12912.0,Amendment to   12878,"April 29, 1994","Federal Register page and date: 59 FR 22949; May 3, 1994
Amends: EO 12878, November 5, 1993
See EO 12974, September 29, 1995"
12911.0,Seal for the Office of National Drug Control Policy,"April 25, 1994","Federal Register page and date: 59 FR 21121; April 28, 1994"
12910.0,"Providing for the Closing of Government Departments and Agencies on April 27, 1994","April 23, 1994","Federal Register page and date: 59 FR 21915; April 26, 1994
Note: In memoriam of President Nixon"
12909.0,Order of succession of officers to act as Secretary of the Air Force,"April 22, 1994","Federal Register page and date: 59 FR 21909; April 26, 1994"
12908.0,Order of succession of officers to act as Secretary of the Army,"April 22, 1994","Federal Register page and date: 59 FR 21907; April 26, 1994"
12907.0,Amending   12882,"April 14, 1994","Federal Register page and date: 59 FR 18291; April 18, 1994
Amends: EO 12882, November 23, 1993
Revoked by: EO 13226, September 30, 2001"
12906.0,Coordinating geographic data acquisition and access: The National Spatial Data Infrastructure,"April 11, 1994","Federal Register page and date: 59 FR 17671; April 13, 1994
Amended by: EO 13286, February 28, 2003"
12905.0,Trade and Environment Policy Advisory Committee,"March 25, 1994","Federal Register page and date: 59 FR 14733; March 29, 1994
Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13316, September 17, 2003; EO 13385, September 29, 2005
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009; EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13585, September 30, 2011"
12904.0,"Commission for Environmental Cooperation, Commission for Labor Cooperation, Border Environment Cooperation Commission, and North American Development Bank","March 16, 1994","Federal Register page and date: 59 FR 13179; March 21, 1994"
12903.0,Nuclear Cooperation With EURATOM,"March 9, 1994","Federal Register page and date: 59 FR 11473; March 11, 1994
Supersedes: EO 12840, March 9, 1993
Superseded by: EO 12955, March 9, 1995"
12902.0,Energy efficiency and water conservation at Federal facilities,"March 8, 1994","Federal Register page and date: 59 FR 11463; March 10, 1994
Revokes: EO 12759, April 17, 1991
See: EO 13101, September 14, 1998
Revoked by: EO 13123, June 3, 1999"
12901.0,Identification of trade expansion priorities,"March 3, 1994","Federal Register page and date: 59 FR 10727; March 8, 1994
Amended by: EO 12973, September 27, 1995"
12900.0,Educational Excellence for Hispanic Americans,"February 22, 1994","Federal Register page and date: 59 FR 9061; February 24, 1994
Revokes: EO 12729, September 24, 1990
Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001
Revoked by: EO 13230, October 12, 2001"
12899.0,Establishing an emergency board to investigate a dispute between the Long Island Rail Road and certain of its employees represented by the United Transportation Union,"February 15, 1994","Federal Register page and date: 59 FR 8113; February 17, 1994"
12898.0,Federal actions to address environmental justice in minority populations and low-income populations,"February 11, 1994","Federal Register page and date: 59 FR 7629; February 16, 1994
Amends: EO 12250, November 2, 1980
Amended by: EO 12948, January 30, 1995"
12897.0,Garnishment of Federal Employees' Pay,"February 3, 1994","Federal Register page and date: 59 FR 5517; February 7, 1994
See: 59 FR 14541"
12896.0,Amending the Civil Service Rules Concerning Political Activity,"February 3, 1994","Federal Register page and date: 59 FR 5515; February 7, 1994"
12895.0,North Pacific Anadromous Fish Commission,"January 26, 1994","Federal Register page and date: 59 FR 4239; January 31, 1994"
12894.0,North Pacific Marine Science Organization,"January 26, 1994","Federal Register page and date: 59 FR 4237; January 31, 1994"
12893.0,Principles for Federal infrastructure investments,"January 26, 1994","Federal Register page and date: 59 FR 4233; January 31, 1994"
12892.0,Leadership and coordination of fair housing in Federal programs: affirmatively furthering fair housing,"January 17, 1994","Federal Register page and date: 59 FR 2939; January 20, 1994
Amends: EO 11063, November 20, 1962
Revokes: EO 11063, November 20, 1962 (in part); EO 12259, December 31, 1980
See: Memorandum, January 17, 1994"
12891.0,Advisory Committee on Human Radiation Experiments,"January 15, 1994","Federal Register page and date: 59 FR 2935; January 20, 1994
Revoked by: EO 13062, September 29, 1997"
12890.0,Amendment to   12864,"December 30, 1993","Federal Register page and date: 59 FR 499; January 5, 1994
Amends: EO 12864, September 15, 1993
Revoked by: EO 13062, September 29, 1997"
12889.0,Implementation of the North American Free Trade Agreement,"December 27, 1993","Federal Register page and date: 58 FR 69681; December 30, 1993
Revokes in part: EO 12662, December 31, 1988"
12888.0,"Amendments to the Manual for Courts-Martial, United States, 1984","December 23, 1993","Federal Register page and date: 58 FR 69153; December 29, 1993
Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12936, November 10, 1994; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999"
12887.0,Amending   12878,"December 23, 1993","Federal Register page and date: 58 FR 68713; December 28, 1993
Amends: EO 12878, November 5, 1993
See: EO 12974, September 29, 1995"
12886.0,Adjustments of rates of pay and allowances for the Uniformed Services,"December 23, 1993","Federal Register page and date: 58 FR 68708; December 28, 1993
Superseded by: EO 12944, December 28, 1994"
12885.0,Amendment to   12829,"December 14, 1993","Federal Register page and date: 58 FR 65863; December 16, 1993
Amends: EO 12829, January 6, 1993"
12884.0,"Delegation of functions under the Freedom Support Act and related provisions of the Foreign Operations, Export Financing and Related Programs Appropriations Act","December 1, 1993","Federal Register page and date: 58 FR 64099; December 3, 1993
Amended by: EO 13030, December 12, 1996; EO 13118, March 31, 1999"
12883.0,Delegating a Federal Pay Administration Authority,"November 29, 1993","Federal Register page and date: 58 FR 63281; December 1, 1993
Amends: EO 12748, February 1, 1991"
12882.0,President's Committee of Advisors on Science and Technology,"November 23, 1993","Federal Register page and date: 58 FR 62493; November 26, 1993
Revokes in part: EO 12869, July 10, 1991
Revokes: EO 12700, January 19, 1990; EO 12768, June 28, 1991
Amended by: EO 12907, April 14, 1994; EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999
Revoked by: EO 13226, September 30, 2001"
12881.0,Establishment of the National Science and Technology Council,"November 23, 1993","Federal Register page and date: 58 FR 62491; November 26, 1993
Amended by: EO 13284, January 23, 2003
See: EO 13419, December 20, 2006; EO 13702, July 29, 2015; EO 13744, October 13, 2016"
12880.0,National Drug Control Program,"November 16, 1993","Federal Register page and date: 58 FR 60989; November 18, 1993
Amended by: EO 13008, June 3, 1996"
12879.0,Order of succession of officers to act as Secretary of the Navy,"November 8, 1993","Federal Register page and date: 58 FR 59929; November 10, 1993"
12878.0,Bipartisan Commission on Entitlement Reform,"November 5, 1993","Federal Register page and date: 58 FR 59343; November 9, 1993
Amended by: EO 12887, December 23, 1993; EO 12912, April 29, 1994
Revoked by EO 12974, September 29, 1995"
12877.0,Amendment to  12569,"November 3, 1993","Federal Register page and date: 58 FR 59159; November 8, 1993
Amends: EO 12569, October 16, 1986"
12876.0,Historically black colleges and universities,"November 1, 1993","Federal Register page and date: 58 FR 58735; November 4, 1993
Revokes: EO 12677, April 28, 1989
Amended by: EO 12974, September 29, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999
Revoked by: EO 13256, February 12, 2002"
12875.0,Enhancing the Intergovernmental Partnership,"October 26, 1993","Federal Register page and date: 58 FR 58093; October 28, 1993
Amends: EO 12866, September 30, 1993
Revoked by: EO 13083, May 18, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13132, August 4, 1999"
12874.0,Establishing an emergency board to investigate a dispute between the Long Island Rail Road and certain of its employees represented by the United Transportation Union,"October 20, 1993","Federal Register page and date: 58 FR 54921; October 22, 1993
See: EO 12899, February 15, 1994"
12873.0,"Federal acquisition, recycling, and waste prevention","October 20, 1993","Federal Register page and date: 58 FR 54911; October 22, 1993
Revokes: EO 12780, October 31, 1991
Amended by EO 12995, March 25, 1996
See: EO 12902, March 8, 1994
Revoked by: EO 13101, September 14, 1998"
12872.0,Blocking property of persons obstructing democratization in Haiti,"October 18, 1993","Federal Register page and date: 58 FR 54029; October 20, 1993
Revoked by: EO 12932, October 14, 1994
See: EO 12775, October 4, 1991; EO 12779, October 28, 1991; EO 12853, June 30, 1993; EO 12920, June 10, 1994; EO 12922, June 21, 1994; 58 FR 58480; 59 FR 51066; Notice of September 30, 1994"
12871.0,Labor-Management Partnerships,"October 1, 1993","Federal Register page and date: 58 FR 52201; October 6, 1993
Amended by: EO 12974, September 29, 1995; EO 12983, December 21, 1995; EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13156, May 17, 2000
Revoked by: EO 13203, February 17, 2001"
12870.0,Trade Promotion Coordinating Committee,"September 30, 1993","Federal Register page and date: 58 FR 51753; October 4, 1993
Amended by: EO 13286, February 28, 2003"
12869.0,Continuance of certain Federal advisory committees,"September 30, 1993","Federal Register page and date: 58 FR 51751; October 4, 1993
Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11776, March 18, 1974; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982
Amends: EO 12700, January 19, 1990
Revokes: EO 12675, April 20, 1989 (in part); EO 12687, August 4, 1990; EO 12696, November 13, 1989; EO 12720, July 16, 1990; EO 12792, March 12, 1992, EO 12813, August 4, 1992
Supersedes: EO 12774, September 27, 1991
Revoked in part by: EO 12882, November 23, 1993
Superseded by EO 12974, September 29, 1995"
12868.0,Measures to restrict the participation by United States persons in weapons proliferation activities,"September 30, 1993","Federal Register page and date: 58 FR 51749; October 4, 1993
Revoked by: EO 12930, September 29, 1994
See: EO 12730, September 30, 1990; subsequent continuing administrative memoranda; EO 12735, November 16, 1990"
12867.0,Termination of emergency authority for certain export controls,"September 30, 1993","Federal Register page and date: 58 FR 51747; October 4, 1993
Revokes: EO 12730, September 30, 1990
See: EO 12735, November 16, 1990; EO 12002, July 7, 1977; EO 12214, May 2, 1980"
12866.0,Regulatory Planning and Review,"September 30, 1993","Federal Register page and date: 58 FR 51735; October 4, 1993
Revokes: EO 12291, February 17, 1981; EO 12498, January 4, 1985
Amended by: EO 13258, February 26, 2002; EO 13422, January 18, 2007
Supplemented by: EO 12875, October 26, 1993; EO 13083, May 14, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13084, May 14, 1998; EO 13132, August 4, 1999
See: 59 FR 24276; EO 12988, February 5, 1996; EO 13175, November 6, 2000; EO 13272, August 13, 2002; EO 13416, December 5, 2006; EO 13432, May 14, 2007; EO 13497, January 30, 2009; EO 13579, July 11, 2011; EO 13609, May 1, 2012; EO 13610, May 10, 2012; EO 13636, February 12, 2013"
12865.0,Prohibiting Certain Transactions Involving UNITA,"September 26, 1993","Federal Register page and date: 58 FR 51005; September 29, 1993
Continued by Notices of August 17, 1994; September 18, 1995; September 16, 1996; of September 24, 1997
See: State Department sanctions (58 FR 64904); Final Rule of March 23 (59 FR 15624); Final Rule at (62 FR 45098); EO 13069, December 12, 1997; EO 13098, August 18, 1998; Notice of September 22, 2000; Notice of September 24, 2001; Notice of September 23, 2002 (67 FR 60105)
Revoked by: EO 13298, May 6, 2003"
12864.0,United States Advisory Council on the National Information Infrastructure,"September 15, 1993","Federal Register page and date: 58 FR 48773; September 17, 1993
Amended by: EO 12890, December 30, 1993; EO 12921, June 13, 1994; EO 12960, September 14, 1995
Revoked by: EO 13062, September 29, 1997"
12863.0,President's Foreign Intelligence Advisory Board,"September 13, 1993","Federal Register page and date: 58 FR 48441; September 15, 1993
Revokes: EO 12334, December 4, 1981; EO 12537, October 28, 1985
Amended by: EO 13070, December 15, 1997; EO 13301, May 14, 2003; EO 13376, April 13, 2005
Revoked by: EO 13462, February 29, 2008"
12862.0,Setting Customer Service Standards,"September 11, 1993","Federal Register page and date: 58 FR 48257; September 14, 1993
EO 13571, April 27, 2011"
12861.0,Elimination of one-half of Executive Branch internal regulations,"September 11, 1993","Federal Register page and date: 58 FR 48255; September 14, 1993"
12860.0,Adding members to the Committee on Foreign Investment in the United States,"September 3, 1993","Federal Register page and date: 58 FR 47201; September 8, 1993
Amends: EO 11858, May 7, 1975"
12859.0,Establishment of the Domestic Policy Council,"August 16, 1993","Federal Register page and date: 58 FR 44101; August 19, 1993
Amended by: EO 13284, January 23, 2003; EO 13500, February 5, 2009; EO 13569, April 5, 2011"
12858.0,Deficit Reduction Fund,"August 4, 1993","Federal Register page and date: 58 FR 42185; August 6, 1993"
12857.0,Budget Control,"August 4, 1993","Federal Register page and date: 58 FR 42181; August 6, 1993"
12856.0,Federal Compliance With Right-to-Know Laws and Pollution Prevention Requirements,"August 3, 1993","Federal Register page and date: 58 FR 41981; August 6, 1993
Revoked by: EO 13148, April 21, 2000
See: EO 13101, September 14, 1998"
12855.0,Amendment to  12852,"July 19, 1993","Federal Register page and date: 58 FR 39107; July 21, 1993
Amends: EO 12852, June 29, 1993
Note: EO 12855 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999."
12854.0,Implementation of the Cuban Democracy Act,"July 4, 1993","Federal Register page and date: 58 FR 36587; July 7, 1993
See: 58 FR 45060"
12853.0,Blocking Government of Haiti Property and Prohibiting Transactions With Haiti,"June 30, 1993","Federal Register page and date: 58 FR 35843; July 2, 1993
Revokes in part: EO 12775, October 4, 1991; EO 12779, October 28, 1991
Revoked by: EO 12917, May 21, 1994 in part); EO 12932, October 14, 1994
See: EO 12872, October 18, 1993; Notice, September 30, 1993; EO 12920, June 10, 1994; EO 12922, June 21, 1994; Notice, September 30, 1994; Final Rule (59 FR 51066)"
12852.0,President's Council on Sustainable Development,"June 29, 1993","Federal Register page and date: 58 FR 35841; July 2, 1993
Revokes: EO 12737, December 12, 1990
Amended by: EO 12855, July 19, 1993; EO 12965, June 27, 1995; EO 12965, June 27, 1995; EO 12980, November 17, 1995; EO 13053, June 30, 1997; EO 13114, February 25, 1999
Revoked by: EO 13138, September 30, 1999"
12851.0,"Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities","June 11, 1993","Federal Register page and date: 58 FR 33181; June 15, 1993
Supersedes: Memorandum of June 25, 1991
See: EO 12923, June 30, 1994; EO 12924, August 19, 1994; EO 13222, August 17, 2001"
12850.0,Conditions for renewal of Most-Favored-Nation Status for the People's Republic of China in 1994,"May 28, 1993","Federal Register page and date: 58 FR 31327; June 1, 1993
See: Presidential Determination No. 93-23, May 28, 1993"
12849.0,Implementation of agreement with the European Community on Government procurement,"May 25, 1993","Federal Register page and date: 58 FR 30931; May 27, 1993"
12848.0,Federal plan to break the cycle of homelessness,"May 19, 1993","Federal Register page and date: 58 FR 29517; May 20, 1993"
12847.0,Amending   11423,"May 17, 1993","Federal Register page and date: 58 FR 29511; May 20, 1993
Amends: EO 11423"
12846.0,Additional measures with respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),"April 25, 1993","Federal Register page and date: 58 FR 25771; April 27, 1993
See: EO 12808, May 30, 1992; EO 12810, June 5, 1992; EO 12831, January 15, 1993; Notice of May 25, 1993; Notice of May 25, 1994; 58 FR 35828 (Department of the Treasury, Office of Foreign Assets Control sanctions regulations); Presidential Determination No. 96-7 of December 27, 1995; Notice of May 24, 1996; Notice, May 28, 1997; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003"
12845.0,Requiring agencies to purchase energy efficient computer equipment,"April 21, 1993","Federal Register page and date: 58 FR 21887; April 23, 1993
See: EO 13101, September 14, 1998
Revoked by: EO 13123, June 3, 1999"
12844.0,Federal use of Alternative fueled vehicles,"April 21, 1993","Federal Register page and date: 58 FR 21885; April 23, 1993
Revoked in part by: EO 12974, September 29, 1995
Superseded by: EO 13031, December 13, 1996"
12843.0,Procurement requirements and policies for Federal agencies for ozone-depleting substances,"April 21, 1993","Federal Register page and date: 58 FR 21881; April 23, 1993
Revoked by: EO 13148, April 21, 2000
See: EO 13101, September 14, 1998"
12842.0,International Development Law Institute,"March 29, 1993","Federal Register page and date: 58 FR 17081; April 1, 1993"
12841.0,Adjustments to level IV and V of the Executive Schedule,"March 9, 1993","Federal Register page and date: 58 FR 13529; March 12, 1993
Amends: EO 12154, September 4, 1979
See: EO 12833, January 19, 1993"
12840.0,Nuclear Cooperation With EURATOM,"March 9, 1993","Federal Register page and date: 58 FR 13401; March 11, 1993
Supersedes: EO 12791, March 9, 1992
Superseded by: EO 12903, March 9, 1994"
12839.0,"Reduction of 100,000 Federal positions","February 10, 1993","Federal Register page and date: 58 FR 8515; February 12, 1993
See: Pub.L. 103-88 (107 Stat. 978)"
12838.0,Termination and Limitation of Federal Advisory Committees,"February 10, 1993","Federal Register page and date: 58 FR 8207; February 12, 1993"
12837.0,Deficit Control and Productivity Improvement in the Administration of the Federal Government,"February 10, 1993","Federal Register page and date: 58 FR 8205; February 12, 1993"
12836.0,Revocation of Certain s Concerning Federal Contracting,"February 1, 1993","Federal Register page and date: 58 FR 7045; February 3, 1993
Revokes: EO 12818, October 23, 1992; EO 12800, April 13, 1992
Revoked by: EO 13201, February 17, 2001 (in part); EO 13202, February 17, 2001
See: 58 FR 12140"
12835.0,Establishment of the National Economic Council,"January 25, 1993","Federal Register page and date: 58 FR 6189; January 27, 1993
Amended by: EO 13286, February 28, 2003; EO 13499, February 5, 2009; EO 13569, April 5, 2011"
12834.0,Ethics Commitments by Executive Branch Appointees,"January 20, 1993","Federal Register page and date: 58 FR 5911; January 22, 1993
Revoked by: EO 13184, December 28, 2000"
12833.0,Addition to Level V of the Executive Schedule: Transition Manager for the United States Enrichment Corporation,"January 19, 1993","Federal Register page and date: 58 FR 5907; January 22, 1993
Amends: EO 12154, September 4, 1979
See: EO 12841, March 9, 1993"
12832.0,Amendments Relating to the National Research Council,"January 19, 1993","Federal Register page and date: 58 FR 5905; January 22, 1993
Amends: EO 2859, May 11, 1918"
12831.0,Additional Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),"January 15, 1993","Federal Register page and date: 58 FR 5253; January 21, 1993
Revokes in part: EO 12810, June 5, 1992
Amended by: (continued by) Notice, May 25, 1993; Notice, May 25, 1994; Notice, May 24, 1996; Notice May 28, 1997 
See: EO 12808, May 30, 1992; EO 12846, April 25, 1993; Presidential Determination No. 96-7 of December 27, 1995; Notice of May 25, 2000; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003"
12830.0,Establishing the Military Outstanding Volunteer Service Medal,"January 9, 1993","Federal Register page and date: 58 FR 4061; January 13, 1993
Amended by: EO 13286, February 28, 2003"
12829.0,National Industrial Security Program,"January 6, 1993","Federal Register page and date: 58 FR 3479; January 8, 1993
Amends: EO 10865, February 20, 1960
Amended by: EO 12885, December 14, 1993; EO 13708, September 30, 2015
Continued by: EO 13652;  September 30, 2013
See: EO 10909, January 17, 1961; EO 11382, November 27, 1967; EO 12333, December 8, 1981; EO 12356, April 2, 1992; EO 13284, January 23, 2003; EO 13467, June 30, 2008; EO 13549, August 18, 2010; EO 13585, September 30, 2011"
12828.0,Delegation of Certain Personnel Management Authorities,"January 5, 1993","Federal Register page and date: 58 FR 2965; January 7, 1993
Revoked in part by: EO 13415, December 1, 2006"
12827.0,Amendment to   12792,"December 30, 1992","Federal Register page and date: 58 FR 211; January 4, 1993
Amends: EO 12792, March 12, 1992"
12826.0,Adjustments of certain rates of pay and allowances,"December 30, 1992","Federal Register page and date: 57 FR 62909; December 31, 1992
Supersedes: EO 12786, December 26, 1991
Superseded in part by: EO 12886,

      December 23, 1993
Superseded by: EO 12944, December 28, 1994
See: Memorandum, December 1, 1993; 59 FR 2216"
12825.0,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 1992","December 18, 1992","Federal Register page and date: 57 FR 60973; 22, 1992"
12824.0,Establishing the Transportation Distinguished Service Medal,"December 7, 1992","Federal Register page and date: 57 FR 58121; December 9, 1992
Amended by: EO 13286, February 28, 2003; EO 13569, April 5, 2011"
